4,7,4.47,5.07,6.19,1.08,1.3,4.43,4.58,4.58,4.58,7.47,7.54,9.03
4,8,4.44,5.04,6.16,1.07,1.3,4.44,4.59,4.59,4.59,7.49,7.56,9.05
4,9,4.42,5.02,6.14,1.07,1.3,4.45,5,5,5,7.51,7.58,9.06
4,10,4.4,5,6.12,1.07,1.3,4.46,5.01,5.01,5.01,7.53,8,9.08
4,11,4.38,4.58,6.1,1.06,1.3,4.46,5.01,5.01,5.01,7.54,8.01,9.09
4,12,4.36,4.56,6.08,1.06,1.3,4.47,5.02,5.02,5.02,7.56,8.06,9.11
4,13,4.33,4.53,6.05,1.06,1.3,4.48,5.03,5.03,5.03,7.57,8.07,9.12
4,14,4.31,4.51,6.03,1.06,1.3,4.49,5.04,5.04,5.04,7.59,8.09,9.14
4,15,4.29,4.49,6.01,1.05,1.3,4.49,5.04,5.04,5.04,8.01,8.11,9.16
4,16,4.27,4.47,5.59,1.05,1.3,4.5,5.05,5.05,5.05,8.02,8.12,9.17
4,17,4.25,4.45,5.57,1.05,1.3,4.51,5.06,5.06,5.06,8.04,8.14,9.18
4,18,4.22,4.42,5.55,1.05,1.3,4.52,5.07,5.07,5.07,8.06,8.16,9.2
4,19,4.2,4.4,5.53,1.05,1.3,4.52,5.07,5.07,5.07,8.07,8.17,9.21
4,20,4:18,4:38,5:51,1.04,1.3,4.53,5.08,5.08,5.08,8.09,8.19,9.23
4,21,4:15,4:35,5:49,1.04,1.3,5.54,5.09,5.09,5.09,8.11,8.21,9.25
4,22,4:12,4:32,5:46,1.04,1.3,4.55,5.1,5.1,5.1,8.12,8.22,9.27
4,23,4:10,4:30,5:44,1.04,1.3,4.55,5.1,5.1,5.1,8.14,8.24,9.27
4,24,4:07,4:27,5:42,1.04,1.3,4.56,5.11,5.11,5.11,8.16,8.26,9.29
4,25,4:05,4:25,5:40,1.03,1.3,4.57,5.12,5.12,5.12,8.17,8.27,9.31
4,26,4:03,4:23,5:38,1.03,1.3,4.57,5.12,5.12,5.12,8.19,8.29,9.31
4,27,4:00,4:20,5:36,1.03,1.3,4.58,5.13,5.13,5.13,8.21,8.31,9.33
4,28,3:58,4:18,5:34,1.03,1.3,4.59,5.14,5.14,5.14,8.22,8.32,9.34
4,29,3:57,4:17,5:33,1.03,1.3,4.59,5.14,5.14,5.14,8.24,8.34,9.35
4,30,3:54,4:14,5:31,1.03,1.3,5,5.15,5.15,5.15,8.25,8.35,9.37
5,1,3.51,4.11,5.29,1.03,1.30,5.01,5.16,8.27,8.27,8.37,9.38,9.48
5,2,3.49,4.09,5.27,1.02,1.30,5.02,5.17,8.29,8.29,8.39,9.40,9.50
5,3,3.46,4.06,5.25,1.02,1.30,5.02,5.17,8.31,8.31,8.41,9.42,9.52
5,4,3.44,4.04,5.23,1.02,1.30,5.03,5.18,8.32,8.32,8.42,9.43,9.53
5,5,3.42,4.02,5.22,1.02,1.30,5.04,5.19,8.34,8.34,8.44,9.43,9.53
5,6,3.40,4.00,5.20,1.02,1.30,5.04,5.19,8.36,8.36,8.46,9.47,9.57
5,7,3.37,3.57,5.18,1.02,1.30,5.05,5.20,8.37,8.37,8.47,9.48,9.58
5,8,3.35,3.55,5.16,1.02,1.30,5.05,5.20,8.39,8.39,8.49,9.50,10.00
5,9,3.33,3.53,5.15,1.02,1.30,5.06,5.21,8.40,8.40,8.50,9.51,10.01
5,10,3.31,3.51,5.13,1.02,1.30,5.07,5.22,8.42,8.42,8.52,9.53,10.03
5,11,3.28,3.48,5.11,1.02,1.30,5.07,5.22,8.43,8.43,8.53,9.54,10.04
5,12,3.27,3.47,5.10,1.02,1.30,5.08,5.23,8.45,8.45,8.55,9.56,10.06
5,13,3.24,3.44,5.08,1.02,1.30,5.08,5.23,8.46,8.46,8.56,9.56,10.06
5,14,3.23,3.43,5.07,1.02,1.30,5.09,5.24,8.48,8.48,8.58,9.58,10.08
5,15,3.20,3.40,5.05,1.02,1.30,5.10,5.25,8.49,8.49,8.59,9.59,10.09
5,16,3.19,3.39,5.04,1.02,1.30,5.10,5.25,8.51,8.51,9.01,10.02,10.12
5,17,3.16,3.36,5.02,1.02,1.30,5.11,5.26,8.52,8.52,9.02,10.03,10.13
5,18,3.15,3.35,5.01,1.02,1.30,5.11,5.26,8.54,8.54,9.04,10.05,10.15
5,19,3.13,3.33,5.00,1.02,1.30,5.12,5.27,8.55,8.55,9.05,10.07,10.17
5,20,3.11,3.31,4.58,1.02,1.30,5.12,5.27,8.57,8.57,9.07,10.09,10.19
5,21,3.09,3.29,4.57,1.02,1.30,5.13,5.28,8.58,8.58,9.08,10.10,10.20
5,22,3.08,3.28,4.56,1.02,1.30,5.14,5.29,8.59,8.59,9.09,10.12,10.22
5,23,3.06,3.26,4.55,1.02,1.30,5.14,5.29,9.01,9.01,9.11,10.14,10.24
5,24,3.03,3.23,4.53,1.02,1.30,5.15,5.30,9.02,9.02,9.12,10.14,10.24
5,25,3.01,3.21,4.52,1.02,1.30,5.15,5.30,9.03,9.03,9.13,10.17,10.27
5,26,3.00,3.20,4.51,1.03,1.30,5.16,5.31,9.05,9.05,9.15,10.19,10.29
5,27,2.58,3.18,4.50,1.03,1.30,5.16,5.31,9.06,9.06,9.16,10.20,1030
5,28,2.57,3.17,4.49,1.03,1.30,5.17,5.32,9.07,9.07,9.17,10.22,10.32
5,29,2.55,3.15,4.48,1.03,1.30,5.17,5.32,9.08,9.08,9.18,10.23,10.33
5,30,2.54,3.14,4.47,1.03,1.30,5.18,5.33,9.09,9.09,9.19,10.24,10.34
5,31,2.53,3.13,4.47,1.03,1.30,5.18,5.33,9.11,9.11,9.21,10.27,10.37
6,1,2.52 ,3.12 ,4.46 ,1.03 ,1.30,5.19 ,5.34 ,9.12 ,9.12 ,9.22 ,10.28 ,10.38 
6,2,2.50 ,3.10 ,4.45 ,1.04 ,1.30,5.19 ,5.34 ,9.13 ,9.13 ,9.23 ,10.30 ,10.40 
6,3,2.49 ,3.09 ,4.44 ,1.04 ,1.30,5.19 ,5.34 ,9.14 ,9.14 ,9.24 ,10.31 ,10.41 
6,4,2.48 ,3.08 ,4.44 ,1.04 ,1.30,5.20 ,5.35 ,9.15 ,9.15 ,9.25 ,10.32 ,10.42 
6,5,2.47 ,3.07 ,4.43 ,1.04 ,1.30,5.20 ,5.35 ,9.16 ,9.16 ,9.26 ,10.34 ,10.44 
6,6,2.46 ,3.06 ,4.43 ,1.04 ,1.30,5.21 ,5.36 ,9.17 ,9.17 ,9.27 ,10.35 ,10.45 
6,7,2.45 ,3.05 ,4.42 ,1.04 ,1.30,5.21 ,5.36 ,9.17 ,9.17 ,9.27 ,10.35 ,10.45 
6,8,2.44 ,3.04 ,4.42 ,1.05 ,1.30,5.22 ,5.37 ,9.18 ,9.18 ,9.28 ,10.36 ,10.46 
6,9,2.43 ,3.03 ,4.41 ,1.05 ,1.30,5.22 ,5.37 ,9.19 ,9.19 ,9.29 ,10.38 ,10.48 
6,10,2.42 ,3.02 ,4.41 ,1.05 ,1.30,5.22 ,5.37 ,9.20 ,9.20 ,9.30 ,10.39 ,10.49 
6,11,2.41 ,3.01 ,4.40 ,1.05 ,1.30,5.23 ,5.38 ,9.20 ,9.20 ,9.30 ,10.40 ,10.50 
6,12,2.40 ,3.00 ,4.40 ,1.05 ,1.30,5.23 ,5.38 ,9.21 ,9.21 ,9.31 ,10.41 ,10.51 
6,13,2.39 ,2.59 ,4.40 ,1.06 ,1.30,5.23 ,5.38 ,9.22 ,9.22 ,9.32 ,10.43 ,10.53 
6,14,2.39 ,2.59 ,4.40 ,1.06 ,1.30,5.24 ,5.39 ,9.22 ,9.22 ,9.32 ,10.43 ,10.53 
6,15,2.39 ,2.59 ,4.40 ,1.06 ,1.30,5.24 ,5.39 ,9.23 ,9.23 ,9.33 ,10.44 ,10.54 
6,16,2.39 ,2.59 ,4.40 ,1.06 ,1.30,5.24 ,5.39 ,9.23 ,9.23 ,9.33 ,10.43 ,10.53 
6,17,2.39 ,2.59 ,4.40 ,1.07 ,1.30,5.24 ,5.39 ,9.23 ,9.23 ,9.33 ,10.43 ,10.53 
6,18,2.39 ,2.59 ,4.40 ,1.07 ,1.30,5.25 ,5.40 ,9.24 ,9.24 ,9.34 ,10.43 ,10.53 
6,19,2.39 ,2.59 ,4.40 ,1.07 ,1.30,5.25 ,5.40 ,9.24 ,9.24 ,9.34 ,10.43 ,10.53 
6,20,2.40 ,3.00 ,4.40 ,1.07 ,1.30,5.25 ,5.40 ,9.24 ,9.24 ,9.34 ,10.43 ,10.53 
6,21,2.40 ,3.00 ,4.40 ,1.07 ,1.30,5.25 ,5.40 ,9.25 ,9.25 ,9.35 ,10.43 ,10.53 
6,22,2.40 ,3.00 ,4.40 ,1.08 ,1.30,5.26 ,5.41 ,9.25 ,9.25 ,9.35 ,10.42 ,10.52 
6,23,2.42 ,3.02 ,4.41 ,1.08 ,1.30,5.26 ,5.41 ,9.25 ,9.25 ,9.35 ,10.42 ,10.52 
6,24,2.42 ,3.02 ,4.41 ,1.08 ,1.30,5.26 ,5.41 ,9.25 ,9.25 ,9.35 ,10.41 ,10.51 
6,25,2.43 ,3.03 ,4.42 ,1.08 ,1.30,5.26 ,5.41 ,9.25 ,9.25 ,9.35 ,10.41 ,10.51 
6,26,2.44 ,3.04 ,4.42 ,1.08 ,1.30,5.26 ,5.41 ,9.25 ,9.25 ,9.35 ,10.41 ,10.51 
6,27,2.44 ,3.04 ,4.42 ,1.09 ,1.30,5.26 ,5.41 ,9.25 ,9.25 ,9.35 ,10.40 ,10.50 
6,28,2.46 ,3.06 ,4.43 ,1.09 ,1.30,5.26 ,5.41 ,9.24 ,9.24 ,9.34 ,10.39 ,10.49 
6,29,2.47 ,3.07 ,4.44 ,1.09 ,1.30,5.26 ,5.41 ,9.24 ,9.24 ,9.34 ,10.38 ,10.48 
6,30,2.47 ,3.07,4.44,1.09,1.30,5.26,5.41,9.24,9.24,9.34,10.37,10.47
7,1,2.49 ,3.09 ,4.45 ,1.09 ,1.30 ,5.26 ,5.41 ,9.24 ,9.24 ,9.34 ,10.36 ,10.46 
7,2,2.51 ,3.11 ,4.46 ,1.10 ,1.30 ,5.26 ,5.41 ,9.23 ,9.23 ,9.33 ,10.35 ,10.45 
7,3,2.51 ,3.11 ,4.46 ,1.10 ,1.30 ,5.26 ,5.41 ,9.23 ,9.23 ,9.33 ,10.35 ,10.45 
7,4,2.53 ,3.13 ,4.47 ,1.10 ,1.30 ,5.26 ,5.41 ,9.22 ,9.22 ,9.32 ,10.33 ,10.43 
7,5,2.54 ,3.14 ,4.48 ,1.10 ,1.30 ,5.26 ,5.41 ,9.22 ,9.22 ,9.32 ,10.33 ,10.43 
7,6,2.55 ,3.15 ,4.49 ,1.10 ,1.30 ,5.26 ,5.41 ,9.21 ,9.21 ,9.31 ,10.32 ,10.42 
7,7,2.57 ,3.17 ,4.50 ,1.11 ,1.30 ,5.26 ,5.41 ,9.21 ,9.21 ,9.31 ,10.31 ,10.41 
7,8,2.58 ,3.18 ,4.51 ,1.11 ,1.30 ,5.26 ,5.41 ,9.20 ,9.20 ,9.30 ,10.30 ,10.40 
7,9,3.00 ,3.20 ,4.52 ,1.11 ,1.30 ,5.26 ,5.41 ,9.19 ,9.19 ,9.29 ,10.29 ,10.39 
7,10,3.01 ,3.21 ,4.53 ,1.11 ,1.30 ,5.26 ,5.41 ,9.19 ,9.19 ,9.29 ,10.28 ,10.38 
7,11,3.02 ,3.22 ,4.54 ,1.11 ,1.30 ,5.26 ,5.41 ,9.18 ,9.18 ,9.28 ,10.27 ,10.37 
7,12,3.04 ,3.24 ,4.55 ,1.11 ,1.30 ,5.25 ,5.40 ,9.17 ,9.17 ,9.27 ,10.26 ,10.36 
7,13,3.05 ,3.25 ,4.56 ,1.11 ,1.30 ,5.25 ,5.40 ,9.16 ,9.16 ,9.26 ,10.24 ,10.34 
7,14,3.07 ,3.27 ,4.57 ,1.11 ,1.30 ,5.25 ,5.40 ,9.15 ,9.15 ,9.25 ,10.23 ,10.33 
7,15,3.08 ,3.28 ,4.58 ,1.12 ,1.30 ,5.25 ,5.40 ,9.14 ,9.14 ,9.24 ,10.22 ,10.32 
7,16,3.10 ,3.30 ,5.00 ,1.12 ,1.30 ,5.24 ,5.39 ,9.13 ,9.13 ,9.23 ,10.20 ,10.30 
7,17,3.12 ,3.32 ,5.01 ,1.12 ,1.30 ,5.24 ,5.39 ,9.12 ,9.12 ,9.22 ,10.19 ,10.29 
7,18,3.13 ,3.33 ,5.02 ,1.12 ,1.30 ,5.24 ,5.39 ,9.11 ,9.11 ,9.21 ,10.18 ,10.28 
7,19,3.15 ,3.35 ,5.03 ,1.12 ,1.30 ,5.23 ,5.38 ,9.10 ,9.10 ,9.20 ,10.16 ,10.26 
7,20,3.17 ,3.37 ,5.05 ,1.12 ,1.30 ,5.23 ,5.38 ,9.08 ,9.08 ,9.18 ,10.14 ,10.24 
7,21,3.18 ,3.38 ,5.06 ,1.12 ,1.30 ,5.22 ,5.37 ,9.07 ,9.07 ,9.17 ,10.13 ,10.23 
7,22,3.20 ,3.40 ,5.07 ,1.12 ,1.30 ,5.22 ,5.37 ,9.06 ,9.06 ,9.16 ,10.11 ,10.21 
7,23,3.22 ,3.42 ,5.09 ,1.12 ,1.30 ,5.22 ,5.37 ,9.04 ,9.04 ,9.14 ,10.09 ,10.19 
7,24,3.24 ,3.44 ,5.10 ,1.12 ,1.30 ,5.21 ,5.36 ,9.03 ,9.03 ,9.13 ,10.08 ,10.18 
7,25,3.25 ,3.45 ,5.11 ,1.12 ,1.30 ,5.21 ,5.36 ,9.02 ,9.02 ,9.12 ,10.06 ,10.16 
7,26,3.28 ,3.48 ,5.13 ,1.12 ,1.30 ,5.20 ,5.35 ,9.00 ,9.00 ,9.10 ,10.04 ,10.14 
7,27,3.29 ,3.49 ,5.14 ,1.12 ,1.30 ,5.19 ,5.34 ,8.59 ,8.59 ,9.09 ,10.03 ,10.13 
7,28,3.32 ,3.52 ,5.16 ,1.12 ,1.30 ,5.19 ,5.34 ,8.57 ,8.57 ,9.07 ,10.00 ,10.10 
7,29,3.33 ,3.53 ,5.17 ,1.12 ,1.30 ,5.18 ,5.33 ,8.56 ,8.56 ,9.06 ,9.59 ,10.09 
7,30,3.36 ,3.56 ,5.19 ,1.12 ,1.30 ,5.17 ,5.32 ,8.54 ,8.54 ,9.04 ,9.57 ,10.07 
7,31,3.37,3.57,5.20,1.12,1.30,5.17,5.32,8.52,8.52,9.02,9.55,10.05
8,1,3.40 ,4.00 ,5.22 ,1.12 ,1.30 ,5.16 ,5.31,8.51 ,8.51 ,9.01 ,9.55 ,10.05 
8,2,3.41 ,4.01 ,5.23 ,1.12 ,1.30 ,5.15 ,5.30,8.49 ,8.49 ,8.59 ,9.53 ,10.03 
8,3,3.44 ,4.04 ,5.25 ,1.12 ,1.30 ,5.15 ,5.30,8.48 ,8.48 ,8.58 ,9.52 ,10.02 
8,4,3.45 ,4.05 ,5.26 ,1.12 ,1.30 ,5.14 ,5.29,8.46 ,8.46 ,8.56 ,9.50 ,10.00 
8,5,3.48 ,4.08 ,5.28 ,1.11 ,1.30 ,5.13 ,5.28,8.44 ,8.44 ,8.54 ,9.48 ,9.58 
8,6,3.49 ,4.09 ,5.29 ,1.11 ,1.30 ,5.12 ,5.27,8.42 ,8.42 ,8.52 ,9.47 ,9.57 
8,7,3.51 ,4.11 ,5.31 ,1.11 ,1.30 ,5.11 ,5.26,8.40 ,8.40 ,8.50 ,9.45 ,9.55 
8,8,3.54 ,4.14 ,5.33 ,1.11 ,1.30 ,5.11 ,5.26,8.39 ,8.39 ,8.49 ,9.44 ,9.54 
8,9,3.55 ,4.15 ,5.34 ,1.11 ,1.30 ,5.10 ,5.25,8.37 ,8.37 ,8.47 ,9.42 ,9.52 
8,10,3.57 ,4.17 ,5.36 ,1.11 ,1.30 ,5.09 ,5.24,8.35 ,8.35 ,8.45 ,9.40 ,9.50 
8,11,3.59 ,4.19 ,5.37 ,1.11 ,1.30 ,5.08 ,5.23,8.33 ,8.33 ,8.43 ,9.39 ,9.49 
8,12,4.01 ,4.21 ,5.39 ,1.10 ,1.30 ,5.07 ,5.22,8.31 ,8.31 ,8.41 ,9.37 ,9.47 
8,13,4.02 ,4.22 ,5.40 ,1.10 ,1.30 ,5.06 ,5.21,8.29 ,8.29 ,8.39 ,9.35 ,9.45 
8,14,4.05 ,4.25 ,5.42 ,1.10 ,1.30 ,5.05 ,5.20,8.27 ,8.27 ,8.37 ,9.33 ,9.43 
8,15,4.07 ,4.27 ,5.44 ,1.10 ,1.30 ,5.04 ,5.19,8.25 ,8.25 ,8.35 ,9.31 ,9.41 
8,16,4.08 ,4.28 ,5.45 ,1.10 ,1.30 ,5.03 ,5.18,8.23 ,8.23 ,8.33 ,9.30 ,9.40 
8,17,4.11 ,4.31 ,5.47 ,1.09 ,1.30 ,5.02 ,5.17,8.21 ,8.21 ,8.31 ,9.28 ,9.38 
8,18,4.12 ,4.32 ,5.48 ,1.09 ,1.30 ,5.01 ,5.16,8.19 ,8.19 ,8.29 ,9.26 ,9.36 
8,19,4.14 ,4.34 ,5.50 ,1.09 ,1.30 ,4.59 ,5.14,8.17 ,8.17 ,8.27 ,9.24 ,9.34 
8,20,4.16 ,4.36 ,5.51 ,1.09 ,1.30 ,4.58 ,5.13,8.15 ,8.15 ,8.25 ,9.22 ,9.32 
8,21,4.18 ,4.38 ,5.53 ,1.09 ,1.30 ,4.57 ,5.12,8.13 ,8.13 ,8.23 ,9.21 ,9.31 
8,22,4.20 ,4.40 ,5.55 ,1.08 ,1.30 ,4.56 ,5.11,8.11 ,8.11 ,8.21 ,9.19 ,9.29 
8,23,4.22 ,4.42 ,5.56 ,1.08 ,1.30 ,4.55 ,5.08,8.09 ,8.09 ,8.19 ,9.17 ,9.27 
